copper_height,f_max,f_min,feed_depth,feed_gap_width,feed_width,l3horizontal,l3vertical,patch_length,patch_width,permittivity,realized_gain,resonance,s11,substrate_height,bandwidth
0.035,3.0,1.0,4.0,6.4,2.65,-4.0481,1.0992,32.0,32.0,5.0,1.0992,2.092,-12.304,1.524,0.055251999999999996
0.035,3.0,1.0,8.0,2.1333,3.4,-3.5291,2.1181,32.0,32.0,3.6,2.1181,2.42,-13.539000000000001,1.524,0.077591
0.035,3.0,1.0,8.0,2.1333,3.0,-3.7476,1.5692,32.0,32.0,4.3,1.5692,2.218,-14.1,1.524,0.072089
0.035,3.0,1.0,8.0,2.1333,2.65,-3.9603,1.1172,32.0,32.0,5.0,1.1172,2.0580000000000003,-15.352,1.524,0.06867100000000001
0.035,3.0,1.0,4.0,2.1333,3.4,-3.9783,1.6796,32.0,32.0,3.6,1.6796,2.386,-10.232000000000001,1.524,0.037221
0.035,3.0,1.0,4.0,2.1333,3.0,-4.1077,1.2157,32.0,32.0,4.3,1.2157,2.188,-11.009,1.524,0.046393000000000004
0.035,3.0,1.0,4.0,2.1333,2.65,-4.2432,0.83683,32.0,32.0,5.0,0.83683,2.0340000000000003,-12.091,1.524,0.051828
0.035,3.0,1.0,8.0,6.4,3.74,-2.9723,2.7531,32.0,32.0,3.6,2.7531,2.516,-20.317999999999998,1.6764,0.090417
0.035,3.0,1.0,8.0,6.4,3.3,-3.1856,2.2195,32.0,32.0,4.3,2.2195,2.3080000000000003,-21.588,1.6764,0.080993
0.035,3.0,1.0,8.0,6.4,2.915,-3.3865,1.7701,32.0,32.0,5.0,1.7701,2.142,-24.301,1.6764,0.07284500000000001
0.035,3.0,1.0,4.0,6.4,3.3,-3.7014,1.7,32.0,32.0,4.3,1.7,2.25,-10.347000000000001,1.6764,0.035205
0.035,3.0,1.0,4.0,6.4,2.915,-3.8306,1.3129,32.0,32.0,5.0,1.3129,2.09,-11.306,1.6764,0.047119
0.035,3.0,1.0,8.0,2.1333,3.74,-3.3619,2.2767,32.0,32.0,3.6,2.2767,2.416,-12.450999999999999,1.6764,0.075833
0.035,3.0,1.0,8.0,2.1333,3.3,-3.5638,1.7477,32.0,32.0,4.3,1.7477,2.214,-12.907,1.6764,0.071492
0.035,3.0,1.0,8.0,2.1333,2.915,-3.7305,1.3414,32.0,32.0,5.0,1.3414,2.056,-13.847999999999999,1.6764,0.06823
0.035,3.0,1.0,4.0,2.1333,3.3,-3.9455,1.3737,32.0,32.0,4.3,1.3737,2.182,-10.258,1.6764,0.036236000000000004
0.035,3.0,1.0,4.0,2.1333,2.915,-4.0475,1.0269,32.0,32.0,5.0,1.0269,2.028,-11.151,1.6764,0.048109
0.035,3.0,1.0,8.0,6.4,3.06,-3.6305,2.3833,32.0,35.2,3.6,2.3833,2.49,-22.885,1.3716,0.07285900000000001
0.035,3.0,1.0,8.0,6.4,2.7,-3.9448,1.7625,32.0,35.2,4.3,1.7625,2.2840000000000003,-21.206,1.3716,0.06261900000000001
0.035,3.0,1.0,8.0,6.4,2.385,-4.1885,1.2566,32.0,35.2,5.0,1.2566,2.122,-20.045,1.3716,0.056964999999999995
0.035,3.0,1.0,4.0,6.4,3.06,-3.8167,2.2234,32.0,35.2,3.6,2.2234,2.4419999999999997,-13.613,1.3716,0.073159
0.035,3.0,1.0,4.0,6.4,2.7,-4.0066,1.7032,32.0,35.2,4.3,1.7032,2.242,-14.936,1.3716,0.068695
0.035,3.0,1.0,4.0,6.4,2.385,-4.2206,1.2083,32.0,35.2,5.0,1.2083,2.082,-16.487000000000002,1.3716,0.064501
