copper_height,f_max,f_min,feed_depth,feed_gap_width,feed_width,l3horizontal,l3vertical,patch_length,patch_width,permittivity,realized_gain,resonance,s11,substrate_height
0.035,,,0.044444,0.08,0.14,-2.7968,2.5849,0.8,0.8,4.3,2.5849,86.65,-9.2736,0.09
0.035,,,0.26667,0.026667000000000003,0.14,-2.3144,3.0334,0.8,0.8,4.3,3.0334,88.2,-10.880999999999998,0.09
0.035,,,0.13333,0.026667000000000003,0.14,-2.6729,2.6997,0.8,0.8,4.3,2.6997,87.1,-9.4026,0.09
0.035,,,0.044444,0.026667000000000003,0.14,-2.7845,2.5956,0.8,0.8,4.3,2.5956,86.6,-9.0819,0.09
0.035,,,0.26667,0.24,0.07,-4.8882,0.72935,0.8,0.9,4.3,0.72935,93.85,-8.0038,0.05
0.035,,,0.13333,0.24,0.07,-3.2829,2.6387,0.8,0.9,4.3,2.6387,93.05,-22.846,0.05
0.035,,,0.044444,0.24,0.07,-3.683,2.2119,0.8,0.9,4.3,2.2119,89.55,-20.187,0.05
0.035,,,0.26667,0.08,0.07,-3.5601,2.1772,0.8,0.9,4.3,2.1772,89.7,-29.131,0.05
0.035,,,0.13333,0.08,0.07,-3.8036,2.0278,0.8,0.9,4.3,2.0278,88.7,-23.041,0.05
0.035,,,0.044444,0.08,0.07,-3.9228,1.9263,0.8,0.9,4.3,1.9263,87.9,-21.991,0.05
0.035,,,0.26667,0.026667000000000003,0.07,-3.7739,2.0282,0.8,0.9,4.3,2.0282,88.4,-23.192,0.05
0.035,,,0.13333,0.026667000000000003,0.07,-3.9162,1.9178,0.8,0.9,4.3,1.9178,87.8,-20.796,0.05
0.035,,,0.044444,0.026667000000000003,0.07,-3.9779,1.8676,0.8,0.9,4.3,1.8676,87.55,-20.716,0.05
0.035,,,0.26667,0.24,0.1,-2.8522,2.7611,0.8,0.9,4.3,2.7611,93.2,-10.279000000000002,0.07
0.035,,,0.13333,0.24,0.1,-2.4986,3.3679,0.8,0.9,4.3,3.3679,91.85,-15.720999999999998,0.07
0.035,,,0.044444,0.24,0.1,-2.8813,2.9603,0.8,0.9,4.3,2.9603,88.5,-13.938,0.07
0.035,,,0.26667,0.08,0.1,-2.4591,3.2482,0.8,0.9,4.3,3.2482,88.9,-27.931,0.07
0.035,,,0.13333,0.08,0.1,-2.9305,2.8558,0.8,0.9,4.3,2.8558,87.65,-15.347,0.07
0.035,,,0.044444,0.08,0.1,-3.1054,2.6978,0.8,0.9,4.3,2.6978,86.8,-14.505999999999998,0.07
0.035,,,0.26667,0.026667000000000003,0.1,-2.6126,3.1467,0.8,0.9,4.3,3.1467,87.85,-17.085,0.07
0.035,,,0.13333,0.026667000000000003,0.1,-2.8845,2.9088,0.8,0.9,4.3,2.9088,87.15,-14.209,0.07
0.035,,,0.044444,0.026667000000000003,0.1,-2.9757,2.8315,0.8,0.9,4.3,2.8315,86.85,-13.605,0.07
0.035,,,0.26667,0.24,0.14,-1.783,3.7894,0.8,0.9,4.3,3.7894,92.9,-13.55,0.09
0.035,,,0.13333,0.24,0.14,-2.164,3.6419,0.8,0.9,4.3,3.6419,91.05,-11.704,0.09
0.035,,,0.044444,0.24,0.14,-2.5603,3.2289,0.8,0.9,4.3,3.2289,87.7,-10.488,0.09
0.035,,,0.26667,0.08,0.14,-1.776,3.8768,0.8,0.9,4.3,3.8768,88.55,-20.086,0.09
0.035,,,0.13333,0.08,0.14,-2.437,3.3094,0.8,0.9,4.3,3.3094,87.1,-11.511,0.09
0.035,,,0.044444,0.08,0.14,-2.6639,3.0988,0.8,0.9,4.3,3.0988,86.1,-10.647,0.09
0.035,,,0.26667,0.026667000000000003,0.14,-2.1616,3.5498,0.8,0.9,4.3,3.5498,87.4,-13.140999999999998,0.09
0.035,,,0.13333,0.026667000000000003,0.14,-2.5333,3.2147,0.8,0.9,4.3,3.2147,86.5,-10.892,0.09
0.035,,,0.044444,0.026667000000000003,0.14,-2.6393,3.1196,0.8,0.9,4.3,3.1196,86.05,-10.382,0.09
0.035,,,0.26667,0.24,0.07,-6.9602,-1.1188,0.8,1.0,4.3,-1.1188,91.75,-5.6995,0.05
0.035,,,0.13333,0.24,0.07,-3.2862,2.971,0.8,1.0,4.3,2.971,91.95,-34.554,0.05
