permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
4.3,65,35,0.20625,0.11,0.12579,0.0639,1.65,0.035,1.65,43.13,-16.407,0.52483,0.52483,-4.9309
5.0,65,35,0.20625,0.11,0.11110999999999999,0.0639,1.65,0.035,1.65,40.07,-19.179000000000002,0.010668,0.010668,-5.1864
3.6,65,35,0.4125,0.33,0.1584,0.071,1.65,0.035,1.65,49.52,-20.741999999999997,2.07,2.07,-3.7197
4.3,65,35,0.4125,0.33,0.13976,0.071,1.65,0.035,1.65,45.47,-22.456999999999997,1.5084,1.5084,-3.9992
5.0,65,35,0.4125,0.33,0.12345999999999999,0.071,1.65,0.035,1.65,42.23,-24.747,0.9318200000000001,0.9318200000000001,-4.3213
3.6,65,35,0.20625,0.33,0.1584,0.071,1.65,0.035,1.65,48.17,-12.382,1.5736,1.5736,-4.2528
4.3,65,35,0.20625,0.33,0.13976,0.071,1.65,0.035,1.65,44.27,-13.562999999999999,1.08,1.08,-4.4405
5.0,65,35,0.20625,0.33,0.12345999999999999,0.071,1.65,0.035,1.65,41.15,-15.140999999999998,0.63527,0.63527,-4.6223
3.6,65,35,0.4125,0.11,0.1584,0.071,1.65,0.035,1.65,47.42,-14.130999999999998,1.5867,1.5867,-4.1573
4.3,65,35,0.4125,0.11,0.13976,0.071,1.65,0.035,1.65,43.52,-15.187999999999999,1.0652,1.0652,-4.3704
5.0,65,35,0.4125,0.11,0.12345999999999999,0.071,1.65,0.035,1.65,40.43,-16.642,0.5443100000000001,0.5443100000000001,-4.6412
3.6,65,35,0.20625,0.11,0.1584,0.071,1.65,0.035,1.65,46.85,-12.75,1.3339,1.3339,-4.4372
4.3,65,35,0.20625,0.11,0.13976,0.071,1.65,0.035,1.65,43.04,-14.005,0.8534299999999999,0.8534299999999999,-4.5979
5.0,65,35,0.20625,0.11,0.12345999999999999,0.071,1.65,0.035,1.65,40.01,-15.806,0.39926,0.39926,-4.7951
3.6,65,35,0.4125,0.33,0.17424,0.0781,1.65,0.035,1.65,49.49,-18.214000000000002,2.3622,2.3622,-3.4246
4.3,65,35,0.4125,0.33,0.15374000000000002,0.0781,1.65,0.035,1.65,45.44,-19.304000000000002,1.8124,1.8124,-3.6923
5.0,65,35,0.4125,0.33,0.1358,0.0781,1.65,0.035,1.65,42.2,-20.726,1.2923,1.2923,-3.958
3.6,65,35,0.20625,0.33,0.17424,0.0781,1.65,0.035,1.65,48.08,-11.242,1.7922,1.7922,-4.024
4.3,65,35,0.20625,0.33,0.15374000000000002,0.0781,1.65,0.035,1.65,44.18,-12.177,1.3196,1.3196,-4.195
5.0,65,35,0.20625,0.33,0.1358,0.0781,1.65,0.035,1.65,41.09,-13.402999999999999,0.9309999999999999,0.9309999999999999,-4.3237
3.6,65,35,0.4125,0.11,0.17424,0.0781,1.65,0.035,1.65,47.36,-12.833,1.8036,1.8036,-3.9361
4.3,65,35,0.4125,0.11,0.15374000000000002,0.0781,1.65,0.035,1.65,43.46,-13.65,1.3068,1.3068,-4.1251
5.0,65,35,0.4125,0.11,0.1358,0.0781,1.65,0.035,1.65,40.37,-14.762,0.80253,0.80253,-4.3802
3.6,65,35,0.20625,0.11,0.17424,0.0781,1.65,0.035,1.65,46.73,-11.609000000000002,1.5162,1.5162,-4.2473
4.3,65,35,0.20625,0.11,0.15374000000000002,0.0781,1.65,0.035,1.65,42.95,-12.623,1.0702,1.0702,-4.3757
5.0,65,35,0.20625,0.11,0.1358,0.0781,1.65,0.035,1.65,39.92,-14.055,0.61512,0.61512,-4.5758
3.6,65,35,0.4125,0.33,0.14256,0.0639,1.65,0.035,1.815,49.01,-26.326,1.9739,1.9739,-4.1016
4.3,65,35,0.4125,0.33,0.12579,0.0639,1.65,0.035,1.815,44.99,-25.230999999999998,1.3158,1.3158,-4.4643
5.0,65,35,0.4125,0.33,0.11110999999999999,0.0639,1.65,0.035,1.815,41.81,-22.366999999999997,0.61846,0.61846,-4.9239
3.6,65,35,0.20625,0.33,0.14256,0.0639,1.65,0.035,1.815,47.99,-17.284000000000002,1.8294,1.8294,-4.3155
4.3,65,35,0.20625,0.33,0.12579,0.0639,1.65,0.035,1.815,44.06,-19.541,1.2009999999999998,1.2009999999999998,-4.6131
5.0,65,35,0.20625,0.33,0.11110999999999999,0.0639,1.65,0.035,1.815,41.0,-22.947,0.71313,0.71313,-4.8426
3.6,65,35,0.4125,0.11,0.14256,0.0639,1.65,0.035,1.815,47.33,-20.008,1.7427,1.7427,-4.3154
4.3,65,35,0.4125,0.11,0.12579,0.0639,1.65,0.035,1.815,43.4,-21.713,1.0878,1.0878,-4.6519
5.0,65,35,0.4125,0.11,0.11110999999999999,0.0639,1.65,0.035,1.815,40.31,-25.243000000000002,0.46658999999999995,0.46658999999999995,-5.0142
