permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
3.6,30,10,0.8,0.64,0.306,0.13716,3.2,0.035,2.88,25.86,-14.624,1.7548,1.7548,-3.7357
4.3,30,10,0.8,0.64,0.27,0.13716,3.2,0.035,2.88,23.72,-15.809000000000001,1.2559,1.2559,-3.9255
5.0,30,10,0.8,0.64,0.2385,0.13716,3.2,0.035,2.88,22.02,-17.129,0.81652,0.81652,-4.1389
3.6,30,10,0.4,0.64,0.306,0.13716,3.2,0.035,2.88,25.0,-9.7481,1.122,1.122,-4.3461
4.3,30,10,0.4,0.64,0.27,0.13716,3.2,0.035,2.88,22.94,-10.68,0.66685,0.66685,-4.4955
5.0,30,10,0.4,0.64,0.2385,0.13716,3.2,0.035,2.88,21.34,-11.878,0.32996,0.32996,-4.6069
3.6,30,10,0.8,0.21333000000000002,0.306,0.13716,3.2,0.035,2.88,24.6,-11.7,1.2611,1.2611,-4.1144
4.3,30,10,0.8,0.21333000000000002,0.27,0.13716,3.2,0.035,2.88,22.56,-12.629000000000001,0.7872600000000001,0.7872600000000001,-4.2933
5.0,30,10,0.8,0.21333000000000002,0.2385,0.13716,3.2,0.035,2.88,20.94,-13.715,0.34795,0.34795,-4.5196
3.6,30,10,0.4,0.21333000000000002,0.306,0.13716,3.2,0.035,2.88,24.22,-10.213,0.9071600000000001,0.9071600000000001,-4.4752
4.3,30,10,0.4,0.21333000000000002,0.27,0.13716,3.2,0.035,2.88,22.22,-11.29,0.46513000000000004,0.46513000000000004,-4.6201
5.0,30,10,0.4,0.21333000000000002,0.2385,0.13716,3.2,0.035,2.88,20.68,-12.552,0.10547000000000001,0.10547000000000001,-4.7671
3.6,30,10,0.8,0.64,0.34,0.1524,3.2,0.035,2.88,25.84,-13.120999999999999,2.0198,2.0198,-3.4674
4.3,30,10,0.8,0.64,0.3,0.1524,3.2,0.035,2.88,23.7,-14.056,1.5319,1.5319,-3.6456
5.0,30,10,0.8,0.64,0.265,0.1524,3.2,0.035,2.88,22.02,-15.091,1.1357,1.1357,-3.8155
3.6,30,10,0.4,0.64,0.34,0.1524,3.2,0.035,2.88,24.94,-8.941,1.2841,1.2841,-4.1754
4.3,30,10,0.4,0.64,0.3,0.1524,3.2,0.035,2.88,22.9,-9.7231,0.87774,0.87774,-4.2802
5.0,30,10,0.4,0.64,0.265,0.1524,3.2,0.035,2.88,21.3,-10.735,0.59129,0.59129,-4.3398
3.6,30,10,0.8,0.21333000000000002,0.34,0.1524,3.2,0.035,2.88,24.56,-10.667,1.4737,1.4737,-3.8956
4.3,30,10,0.8,0.21333000000000002,0.3,0.1524,3.2,0.035,2.88,22.52,-11.436,1.0349,1.0349,-4.0413
5.0,30,10,0.8,0.21333000000000002,0.265,0.1524,3.2,0.035,2.88,20.9,-12.333,0.58586,0.58586,-4.2764
3.6,30,10,0.4,0.21333000000000002,0.34,0.1524,3.2,0.035,2.88,24.16,-9.3957,1.0628,1.0628,-4.308
4.3,30,10,0.4,0.21333000000000002,0.3,0.1524,3.2,0.035,2.88,22.16,-10.314,0.63832,0.63832,-4.4413
5.0,30,10,0.4,0.21333000000000002,0.265,0.1524,3.2,0.035,2.88,20.62,-11.4,0.31001999999999996,0.31001999999999996,-4.5559
3.6,30,10,0.8,0.64,0.374,0.16764,3.2,0.035,2.88,25.82,-12.169,2.2659,2.2659,-3.2161
4.3,30,10,0.8,0.64,0.33,0.16764,3.2,0.035,2.88,23.68,-12.982000000000001,1.7886,1.7886,-3.3839
5.0,30,10,0.8,0.64,0.2915,0.16764,3.2,0.035,2.88,22.0,-13.909,1.4409999999999998,1.4409999999999998,-3.5045
3.6,30,10,0.4,0.64,0.374,0.16764,3.2,0.035,2.88,24.9,-8.3126,1.4494,1.4494,-4.0031
4.3,30,10,0.4,0.64,0.33,0.16764,3.2,0.035,2.88,22.86,-8.9805,1.0702,1.0702,-4.0831
5.0,30,10,0.4,0.64,0.2915,0.16764,3.2,0.035,2.88,21.28,-9.865,0.8274100000000001,0.8274100000000001,-4.099
3.6,30,10,0.8,0.21333000000000002,0.374,0.16764,3.2,0.035,2.88,24.52,-9.8809,1.6455,1.6455,-3.7156
4.3,30,10,0.8,0.21333000000000002,0.33,0.16764,3.2,0.035,2.88,22.48,-10.547,1.2113,1.2113,-3.86
5.0,30,10,0.8,0.21333000000000002,0.2915,0.16764,3.2,0.035,2.88,20.88,-11.32,0.80385,0.80385,-4.0534
3.6,30,10,0.4,0.21333000000000002,0.374,0.16764,3.2,0.035,2.88,24.1,-8.7737,1.1952,1.1952,-4.1644
4.3,30,10,0.4,0.21333000000000002,0.33,0.16764,3.2,0.035,2.88,22.1,-9.592,0.7862600000000001,0.7862600000000001,-4.2874
5.0,30,10,0.4,0.21333000000000002,0.2915,0.16764,3.2,0.035,2.88,20.56,-10.542,0.49068999999999996,0.49068999999999996,-4.3682
3.6,30,10,0.8,0.64,0.306,0.13716,3.2,0.035,3.2,25.5,-22.766,2.2004,2.2004,-3.5926
4.3,30,10,0.8,0.64,0.27,0.13716,3.2,0.035,3.2,23.4,-25.293000000000003,1.5484,1.5484,-3.9387
5.0,30,10,0.8,0.64,0.2385,0.13716,3.2,0.035,3.2,21.74,-28.63,1.091,1.091,-4.1407
3.6,30,10,0.4,0.64,0.306,0.13716,3.2,0.035,3.2,24.84,-11.652999999999999,1.6666,1.6666,-4.1483
4.3,30,10,0.4,0.64,0.27,0.13716,3.2,0.035,3.2,22.78,-12.741,1.165,1.165,-4.3248
5.0,30,10,0.4,0.64,0.2385,0.13716,3.2,0.035,3.2,21.2,-14.218,0.7501399999999999,0.7501399999999999,-4.4756
3.6,30,10,0.8,0.21333000000000002,0.306,0.13716,3.2,0.035,3.2,24.46,-14.077,1.7518,1.7518,-3.9744
