permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
5.0,105,55,0.1125,0.06,0.11110999999999999,0.0639,0.9,0.035,0.9,72.8,-10.065,1.4414,1.4414,-3.7681
3.6,105,55,0.225,0.18,0.1584,0.071,0.9,0.035,0.9,90.35,-11.168,3.3713,3.3713,-2.3684
4.3,105,55,0.225,0.18,0.13976,0.071,0.9,0.035,0.9,82.9,-11.652000000000001,2.8978,2.8978,-2.5919
5.0,105,55,0.225,0.18,0.12345999999999999,0.071,0.9,0.035,0.9,76.95,-12.267999999999999,2.5311,2.5311,-2.7076
3.6,105,55,0.1125,0.18,0.1584,0.071,0.9,0.035,0.9,87.35,-7.9653,2.5311,2.5311,-3.2208
4.3,105,55,0.1125,0.18,0.13976,0.071,0.9,0.035,0.9,80.3,-8.491,2.1551,2.1551,-3.3489
5.0,105,55,0.1125,0.18,0.12345999999999999,0.071,0.9,0.035,0.9,74.7,-9.1098,1.8737,1.8737,-3.3763
3.6,105,55,0.225,0.06,0.1584,0.071,0.9,0.035,0.9,86.3,-8.9757,2.6518,2.6518,-3.0637
4.3,105,55,0.225,0.06,0.13976,0.071,0.9,0.035,0.9,79.2,-9.4372,2.2232,2.2232,-3.2163
5.0,105,55,0.225,0.06,0.12345999999999999,0.071,0.9,0.035,0.9,73.55,-9.996,1.8907,1.8907,-3.2968
3.6,105,55,0.1125,0.06,0.1584,0.071,0.9,0.035,0.9,84.9,-8.032,2.2768,2.2768,-3.4477
4.3,105,55,0.1125,0.06,0.13976,0.071,0.9,0.035,0.9,78.05,-8.5692,1.9048,1.9048,-3.5442
5.0,105,55,0.1125,0.06,0.12345999999999999,0.071,0.9,0.035,0.9,72.6,-9.2207,1.6167,1.6167,-3.5809
3.6,105,55,0.225,0.18,0.17424,0.0781,0.9,0.035,0.9,90.2,-10.36,3.4744,3.4744,-2.2486
4.3,105,55,0.225,0.18,0.15374000000000002,0.0781,0.9,0.035,0.9,82.7,-10.804,3.0117,3.0117,-2.4663
5.0,105,55,0.225,0.18,0.1358,0.0781,0.9,0.035,0.9,76.8,-11.363,2.6689999999999996,2.6689999999999996,-2.5567
3.6,105,55,0.1125,0.18,0.17424,0.0781,0.9,0.035,0.9,87.05,-7.5416,2.6108,2.6108,-3.1074
4.3,105,55,0.1125,0.18,0.15374000000000002,0.0781,0.9,0.035,0.9,80.05,-8.0218,2.2593,2.2593,-3.2261
5.0,105,55,0.1125,0.18,0.1358,0.0781,0.9,0.035,0.9,74.45,-8.5867,1.9957,1.9957,-3.2395
3.6,105,55,0.225,0.06,0.17424,0.0781,0.9,0.035,0.9,86.2,-8.471,2.7727,2.7727,-2.9203
4.3,105,55,0.225,0.06,0.15374000000000002,0.0781,0.9,0.035,0.9,79.1,-8.8825,2.3638,2.3638,-3.0614
5.0,105,55,0.225,0.06,0.1358,0.0781,0.9,0.035,0.9,73.45,-9.3797,2.0493,2.0493,-3.1268
3.6,105,55,0.1125,0.06,0.17424,0.0781,0.9,0.035,0.9,84.65,-7.5407,2.3664,2.3664,-3.3271
4.3,105,55,0.1125,0.06,0.15374000000000002,0.0781,0.9,0.035,0.9,77.85,-8.0178,2.0155,2.0155,-3.4169
5.0,105,55,0.1125,0.06,0.1358,0.0781,0.9,0.035,0.9,72.4,-8.5944,1.7479,1.7479,-3.4368
3.6,105,55,0.225,0.18,0.14256,0.0639,0.9,0.035,0.99,89.25,-16.524,3.6398,3.6398,-2.3837
4.3,105,55,0.225,0.18,0.12579,0.0639,0.9,0.035,0.99,82.0,-17.085,3.1318,3.1318,-2.6255
5.0,105,55,0.225,0.18,0.11110999999999999,0.0639,0.9,0.035,0.99,76.15,-17.882,2.6798,2.6798,-2.8517
3.6,105,55,0.1125,0.18,0.14256,0.0639,0.9,0.035,0.99,86.95,-9.9571,2.95,2.95,-3.139
4.3,105,55,0.1125,0.18,0.12579,0.0639,0.9,0.035,0.99,79.95,-10.592,2.5055,2.5055,-3.2996
5.0,105,55,0.1125,0.18,0.11110999999999999,0.0639,0.9,0.035,0.99,74.35,-11.353,2.1323,2.1323,-3.4283
3.6,105,55,0.225,0.06,0.14256,0.0639,0.9,0.035,0.99,86.0,-11.262,3.0135,3.0135,-3.0168
4.3,105,55,0.225,0.06,0.12579,0.0639,0.9,0.035,0.99,78.95,-11.769,2.5156,2.5156,-3.2304
5.0,105,55,0.225,0.06,0.11110999999999999,0.0639,0.9,0.035,0.99,73.3,-12.427,2.0796,2.0796,-3.4124
3.6,105,55,0.1125,0.06,0.14256,0.0639,0.9,0.035,0.99,84.75,-9.7989,2.6563,2.6563,-3.4015
